quiz_id,quiz_title,week,book,topic,reference_id,question,question_type,difficulty,answer_choice_1,answer_choice_2,answer_choice_3,answer_choice_4,correct_answer,passages,learning_objective,explanation,common_misconception,points,required,shuffle_answers,tags,active
W15,Week 15 — Mark 1–2 (The Servant Begins),15,Mark,Opening,W15-Q01,How does Mark begin his Gospel?,recall,easy,With a genealogy,With the birth of Jesus,"With “The beginning of the gospel of Jesus Christ, the Son of God”",With a vision of heaven,"With “The beginning of the gospel of Jesus Christ, the Son of God”",Mark 1:1,Recall how Mark opens his account.,"Mark skips birth narratives and opens by declaring Jesus’ identity: Christ, Son of God.",Some expect every Gospel to begin like Matthew or Luke with a birth story.,1,TRUE,FALSE,"mark1,opening",TRUE
W15,Week 15 — Mark 1–2 (The Servant Begins),15,Mark,Baptism,W15-Q02,Who baptized Jesus?,recall,easy,Peter,John the Baptist,Elijah,A priest in the temple,John the Baptist,Mark 1:9,Identify who baptized Jesus.,Jesus came from Nazareth and was baptized by John in the Jordan.,Some confuse John the Baptist with the apostle John.,1,TRUE,FALSE,"baptism,john",TRUE
W15,Week 15 — Mark 1–2 (The Servant Begins),15,Mark,Calling,W15-Q03,What did the four friends do to get the paralytic to Jesus?,recall,easy,Waited at the door,Lowered him through the roof,Carried him to the synagogue,Sent a message,Lowered him through the roof,Mark 2:3-4,Recall the determined faith of the paralytic’s friends.,"The crowd blocked the door, so they dug through the roof and lowered the bed.","The detail shows active faith, not mere curiosity.",1,TRUE,FALSE,"paralytic,faith",TRUE
W15,Week 15 — Mark 1–2 (The Servant Begins),15,Mark,Mission,W15-Q04,Whom did Jesus say He came to call?,recall,easy,The righteous,The religious leaders,Sinners,The wealthy,Sinners,Mark 2:17,Understand who Jesus came for.,"Eating with tax collectors, Jesus said the sick need a physician — He came to call sinners.",Some think Jesus sought out the already-righteous.,1,TRUE,FALSE,"sinners,levi",TRUE
W15,Week 15 — Mark 1–2 (The Servant Begins),15,Mark,Identity,W15-Q05,What happened when Jesus came up out of the baptismal water?,recall,medium,The crowd worshiped Him,The heavens were torn open and the Spirit descended like a dove,An angel appeared,John announced Him as king,The heavens were torn open and the Spirit descended like a dove,Mark 1:10-11,Recognize the divine affirmation at the baptism.,"The Spirit descended and the Father declared, “You are my beloved Son.”",All three persons of the Trinity appear in the scene together.,2,TRUE,FALSE,"baptism,spirit",TRUE
W15,Week 15 — Mark 1–2 (The Servant Begins),15,Mark,Calling,W15-Q06,What were Simon and Andrew doing when Jesus called them?,recall,medium,Mending the boat,Casting a net into the sea,Selling fish at market,Praying at the synagogue,Casting a net into the sea,Mark 1:16-18,Recall the call of the first disciples.,Jesus called working fishermen to become fishers of men — and they immediately followed.,"They were at work, not at worship, when called.",2,TRUE,FALSE,"calling,fishermen",TRUE
W15,Week 15 — Mark 1–2 (The Servant Begins),15,Mark,Prayer,W15-Q07,Why did Jesus rise very early and go to a desolate place?,interpretation,medium,To escape the crowds permanently,To pray,To fast,To wait for the disciples,To pray,Mark 1:35,See Jesus’ dependence on prayer.,"Amid intense ministry demand, Jesus withdrew to pray before the day began.","His withdrawal was for communion with the Father, not avoidance of people.",2,TRUE,FALSE,prayer,TRUE
W15,Week 15 — Mark 1–2 (The Servant Begins),15,Mark,Authority,W15-Q08,What claim scandalized the scribes at the healing of the paralytic?,interpretation,medium,That Jesus could heal on the Sabbath,That Jesus could forgive sins,That Jesus was Elijah,That Jesus would rebuild the temple,That Jesus could forgive sins,Mark 2:5-12,Connect the healing to Jesus’ authority to forgive.,“Who can forgive sins but God alone?” — Jesus healed to show the Son of Man’s authority to forgive.,The miracle served the greater claim; forgiveness was the point.,2,TRUE,FALSE,"forgiveness,authority",TRUE
W15,Week 15 — Mark 1–2 (The Servant Begins),15,Mark,Prophecy,W15-Q09,How does Isaiah 40:3 frame John the Baptist’s ministry?,theological,hard,As a call to rebuild the temple,As a voice preparing the way of the Lord,As a promise of military victory,As a rebuke of Israel’s kings,As a voice preparing the way of the Lord,Mark 1:2-3; Isaiah 40:3,Connect Mark’s opening citation to its OT context.,Isaiah’s herald prepares the way for the LORD Himself — Mark applies it to Jesus’ coming.,"The citation quietly identifies Jesus with the coming of God, not merely a prophet.",3,TRUE,FALSE,"isaiah40,john",TRUE
W15,Week 15 — Mark 1–2 (The Servant Begins),15,Mark,Sonship,W15-Q10,"At the baptism, “You are my beloved Son” echoes which Old Testament passage?",theological,hard,Genesis 1,Psalm 2,Isaiah 6,Deuteronomy 8,Psalm 2,Mark 1:11; Psalm 2:7,Hear the royal-messianic echo in the Father’s words.,Psalm 2 is God’s enthronement word to His anointed King — the baptism declares Jesus that King.,"The words are royal installation language, not only affection.",3,TRUE,FALSE,"psalm2,sonship",TRUE
W15,Week 15 — Mark 1–2 (The Servant Begins),15,Mark,Sabbath,W15-Q11,"What does “the Sabbath was made for man, not man for the Sabbath” teach?",interpretation,hard,The Sabbath no longer matters,"God’s gifts serve people, and the Son of Man is Lord of the Sabbath",Rules always outweigh needs,Only priests may interpret the law,"God’s gifts serve people, and the Son of Man is Lord of the Sabbath",Mark 2:27-28,Grasp Jesus’ authority over the Sabbath.,"The Sabbath is God’s gift for human good, and Jesus has authority over its meaning.",Jesus was not abolishing rest but exposing legalism.,3,TRUE,FALSE,sabbath,TRUE
W15,Week 15 — Mark 1–2 (The Servant Begins),15,Mark,Style,W15-Q12,Why does Mark repeatedly say “immediately” in chapter 1?,theological,hard,To show poor editing,To portray the Servant-King acting with urgency as the kingdom breaks in,To compress an unimportant period,To imitate Roman historians,To portray the Servant-King acting with urgency as the kingdom breaks in,Mark 1:12-45,Recognize Mark’s fast-moving Servant portrait.,"Mark’s style presents Jesus in constant, urgent action — the Servant at work.","The pace is a theological portrait, not careless writing.",3,TRUE,FALSE,"style,servant",TRUE
W16,Week 16 — Mark 3–4 (The Servant Under Opposition),16,Mark,Sabbath Conflict,W16-Q01,What did Jesus do in the synagogue that led leaders to plot against Him?,recall,easy,Cleansed the temple,Healed a man with a withered hand on the Sabbath,Read from Isaiah,Rebuked a demon,Healed a man with a withered hand on the Sabbath,Mark 3:1-6,Recall the Sabbath healing and its cost.,Jesus healed on the Sabbath; Pharisees and Herodians began plotting to destroy Him.,"Doing good on the Sabbath was the issue, not breaking God’s law.",1,TRUE,FALSE,"sabbath,healing",TRUE
W16,Week 16 — Mark 3–4 (The Servant Under Opposition),16,Mark,Apostles,W16-Q02,How many apostles did Jesus appoint on the mountain?,recall,easy,Seven,Ten,Twelve,Seventy,Twelve,Mark 3:13-19,Recall the appointing of the twelve.,Jesus appointed twelve to be with Him and to be sent out to preach.,Being “with Him” came before being sent.,1,TRUE,FALSE,"apostles,twelve",TRUE
W16,Week 16 — Mark 3–4 (The Servant Under Opposition),16,Mark,Sower,W16-Q03,"In the parable of the sower, what is the seed?",recall,easy,Faith,The word,The kingdom,Good works,The word,Mark 4:14,Recall the parable’s key symbol.,“The sower sows the word” — the soils are responses to it.,"The variable is the soil, not the seed.",1,TRUE,FALSE,"sower,word",TRUE
W16,Week 16 — Mark 3–4 (The Servant Under Opposition),16,Mark,Storm,W16-Q04,What did Jesus say to the wind and sea?,recall,easy,“Be gone!”,“Peace! Be still!”,“Fear not!”,“Obey the Lord!”,“Peace! Be still!”,Mark 4:39,Recall Jesus’ command over the storm.,"Jesus rebuked the wind and spoke to the sea, and there was a great calm.",He commanded creation directly — no prayer for rescue was needed.,1,TRUE,FALSE,storm,TRUE
W16,Week 16 — Mark 3–4 (The Servant Under Opposition),16,Mark,Family,W16-Q05,What did Jesus’ family say about Him when crowds pressed in?,recall,medium,“He is the Messiah”,“He is out of his mind”,“He must be crowned”,“He should rest”,“He is out of his mind”,Mark 3:21,See that even Jesus’ family misunderstood Him.,"His family went to seize Him, saying He was out of His mind.",Misunderstanding came even from those closest to Him.,2,TRUE,FALSE,"family,opposition",TRUE
W16,Week 16 — Mark 3–4 (The Servant Under Opposition),16,Mark,Accusation,W16-Q06,By whose power did the scribes claim Jesus cast out demons?,recall,medium,Elijah’s,Beelzebul’s,Moses’,Caesar’s,Beelzebul’s,Mark 3:22,Recall the scribes’ accusation.,They attributed His exorcisms to the prince of demons; Jesus answered that a divided house cannot stand.,"The charge was not that He failed, but that His power was evil.",2,TRUE,FALSE,beelzebul,TRUE
W16,Week 16 — Mark 3–4 (The Servant Under Opposition),16,Mark,True Family,W16-Q07,Who did Jesus say is His brother and sister and mother?,recall,medium,His blood relatives,The twelve only,Whoever does the will of God,The crowds who followed,Whoever does the will of God,Mark 3:34-35,Understand Jesus’ redefinition of family.,"Looking at those seated around Him, Jesus defined His family by obedience to God.","Belonging is defined by doing God’s will, not lineage.",2,TRUE,FALSE,family,TRUE
W16,Week 16 — Mark 3–4 (The Servant Under Opposition),16,Mark,Lamp,W16-Q08,What does the saying about the lamp and the basket teach?,interpretation,medium,Secrets should stay hidden,What is hidden is meant to come to light,Lamps were costly,Teaching should be private,What is hidden is meant to come to light,Mark 4:21-22,Interpret the lamp saying within the parable section.,The kingdom’s present hiddenness is temporary — the word is meant to shine.,"The saying is about the kingdom’s disclosure, not household advice.",2,TRUE,FALSE,"lamp,kingdom",TRUE
