quiz_id,quiz_title,week,book,topic,reference_id,question,question_type,difficulty,answer_choice_1,answer_choice_2,answer_choice_3,answer_choice_4,correct_answer,passages,learning_objective,explanation,common_misconception,points,required,shuffle_answers,tags,active
W22,Week 22 — Luke 1–2 (The Savior Arrives),22,Luke,Purpose,W22-Q01,To whom does Luke address his orderly account?,recall,easy,Theophilus,Timothy,Titus,The church at Antioch,Theophilus,Luke 1:1-4,Recall the stated recipient and purpose of Luke’s Gospel.,Luke writes an orderly account to Theophilus so he may have certainty concerning the things he was taught.,Some assume the Gospels were written anonymously to no one in particular.,1,TRUE,FALSE,"luke1,purpose",TRUE
W22,Week 22 — Luke 1–2 (The Savior Arrives),22,Luke,Annunciation,W22-Q02,Which angel announced the births of both John and Jesus?,recall,easy,Michael,Gabriel,Raphael,An unnamed angel of the Lord,Gabriel,"Luke 1:19, 1:26",Identify the messenger who brings both birth announcements.,"Gabriel, who stands in the presence of God, appears first to Zechariah and then to Mary.","Michael is often confused with Gabriel; Michael is the warrior archangel, not the messenger here.",1,TRUE,FALSE,"luke1,gabriel",TRUE
W22,Week 22 — Luke 1–2 (The Savior Arrives),22,Luke,Nativity,W22-Q03,Where was the newborn Jesus laid?,recall,easy,In a cradle at the inn,In the temple courts,In a manger,In His mother’s arms in a guest room,In a manger,Luke 2:7,Recall the humble circumstances of Jesus’ birth.,"Mary wrapped Him in swaddling cloths and laid Him in a manger, because there was no place for them in the inn.",The familiar stable is an inference; Luke mentions only the manger and the lack of room.,1,TRUE,FALSE,"luke2,nativity",TRUE
W22,Week 22 — Luke 1–2 (The Savior Arrives),22,Luke,Shepherds,W22-Q04,Who were the first people told of Jesus’ birth?,recall,easy,The priests in Jerusalem,Wise men from the east,Herod’s household,Shepherds in the fields,Shepherds in the fields,Luke 2:8-11,Recall who received the angelic birth announcement.,An angel announced good news of great joy to shepherds keeping watch over their flocks by night.,"The wise men appear in Matthew, not Luke, and arrived much later.",1,TRUE,FALSE,"luke2,shepherds",TRUE
W22,Week 22 — Luke 1–2 (The Savior Arrives),22,Luke,Zechariah,W22-Q05,What happened to Zechariah when he doubted Gabriel’s word?,recall,medium,He was struck blind,He was unable to speak until the child was born,He was sent away from the temple,He fell into a deep sleep,He was unable to speak until the child was born,"Luke 1:18-20, 1:63-64",Understand the consequence of unbelief in the temple scene.,"Because he did not believe, Zechariah was mute until the day John was named; his tongue was loosed and he blessed God.","Some remember blindness, confusing this with Saul’s experience in Acts.",2,TRUE,FALSE,"luke1,zechariah",TRUE
W22,Week 22 — Luke 1–2 (The Savior Arrives),22,Luke,Magnificat,W22-Q06,Whose song praises God for lifting up the humble and filling the hungry?,recall,medium,Elizabeth’s,Anna’s,Mary’s,Zechariah’s,Mary’s,Luke 1:46-55,Identify the Magnificat and its speaker.,"Mary’s Magnificat magnifies the Lord who scatters the proud, brings down the mighty, and exalts those of humble estate.","Zechariah also sings (the Benedictus, Luke 1:68-79), but the reversal song is Mary’s.",2,TRUE,FALSE,"luke1,magnificat",TRUE
W22,Week 22 — Luke 1–2 (The Savior Arrives),22,Luke,Simeon,W22-Q07,Who was promised he would not see death before seeing the Lord’s Christ?,recall,medium,Simeon,Zechariah,Joseph,Simon Peter,Simeon,Luke 2:25-32,Recall the righteous man who blessed the infant Jesus in the temple.,"Simeon, righteous and devout, took the child in his arms and blessed God for the salvation prepared before all peoples.","Simeon of Luke 2 is not Simon Peter, who is called later in Luke 5.",2,TRUE,FALSE,"luke2,simeon",TRUE
W22,Week 22 — Luke 1–2 (The Savior Arrives),22,Luke,Boyhood,W22-Q08,Where did Mary and Joseph find the twelve-year-old Jesus after three days?,recall,medium,On the road home to Nazareth,In the temple among the teachers,In the marketplace,At a relative’s house in Jerusalem,In the temple among the teachers,Luke 2:41-47,Recall the only boyhood episode recorded in the Gospels.,"They found Him in the temple, sitting among the teachers, listening and asking questions; all were amazed at His understanding.",He was not teaching from authority yet but listening and questioning as a student would.,2,TRUE,FALSE,"luke2,temple",TRUE
W22,Week 22 — Luke 1–2 (The Savior Arrives),22,Luke,History,W22-Q09,Why does Luke name Caesar Augustus and Quirinius at Jesus’ birth?,interpretation,hard,To criticize Roman taxation,"To anchor the gospel in datable, public history",To show Jesus was born a Roman citizen,To explain why the shepherds were working,"To anchor the gospel in datable, public history",Luke 2:1-2,Understand Luke’s historical method.,"Luke repeatedly fixes his account to named rulers and censuses, presenting the gospel as something that happened in real time and place, not as legend.",Some read the rulers as mere scene-setting rather than as Luke’s claim to verifiable history.,3,TRUE,FALSE,"luke2,history",TRUE
W22,Week 22 — Luke 1–2 (The Savior Arrives),22,Luke,Reversal,W22-Q10,What does Mary’s Magnificat reveal about how God works?,theological,hard,He rewards the powerful who serve Him,He remains distant from human affairs,"He overturns human status, exalting the humble and sending the rich away empty","He blesses Israel only, never the nations","He overturns human status, exalting the humble and sending the rich away empty",Luke 1:51-55,Grasp the theme of divine reversal that runs through Luke.,"God scatters the proud, brings down rulers, exalts the humble, and fills the hungry — a pattern Luke traces through the whole Gospel.",The song is often heard as gentle piety rather than as the bold announcement of reversal it is.,3,TRUE,FALSE,"luke1,reversal",TRUE
