Week,Passage,Question,Option A,Option B,Option C,Option D,Correct Answer,Scripture Reference
22,Luke 1–2,Why did Luke write his Gospel?,To replace the Old Testament,So Theophilus could know the exact truth about what he had been taught,To defend Paul before Caesar,To record only Jesus' miracles,B,Luke 1:1–4
22,Luke 1–2,What happened to Zacharias after he doubted Gabriel's message?,He became unable to speak,He was removed from the priesthood,He became blind,He was sent away from Jerusalem,A,Luke 1:18–20
22,Luke 1–2,What did Gabriel say about Jesus' reign?,It would last forty years,It would begin only after Rome fell,It would be limited to Israel,His kingdom would have no end,D,Luke 1:30–33
22,Luke 1–2,What happened when Mary greeted Elizabeth?,Elizabeth began to prophesy before hearing Mary,The house shook,The baby leaped in Elizabeth's womb,Mary immediately gave birth,C,Luke 1:39–45
22,Luke 1–2,What name did Zacharias write for his son?,John,Zacharias,Elijah,Joseph,A,Luke 1:59–63
22,Luke 1–2,Why did Joseph travel from Nazareth to Bethlehem?,To visit Elizabeth,To present Jesus at the temple,Because of a census ordered by Caesar Augustus,To escape King Herod,C,Luke 2:1–5
22,Luke 1–2,To whom did angels announce Jesus' birth?,Wise men from the east,Priests in Jerusalem,Roman soldiers,Shepherds living in the fields,D,Luke 2:8–14
22,Luke 1–2,What did Simeon call the child Jesus?,A prophet like Elijah,A light of revelation to the Gentiles and the glory of Israel,A priest after Aaron,A warrior who would defeat Rome,B,Luke 2:25–32
22,Luke 1–2,What did twelve-year-old Jesus say when His parents found Him in the temple?,I had to be in My Father's house,I became lost in the crowd,I was waiting for the teachers,I will return home tomorrow,A,Luke 2:46–49
22,Luke 1–2,How does Luke describe Jesus' growth after returning to Nazareth?,He traveled throughout Judea,He performed signs privately,He grew only in physical strength,He increased in wisdom and stature and in favor with God and men,D,Luke 2:51–52
23,Luke 3–4,What message did John the Baptist preach?,A baptism of repentance for the forgiveness of sins,Immediate revolt against Rome,Salvation through temple sacrifice only,Withdrawal into the wilderness,A,Luke 3:2–3
23,Luke 3–4,What did John tell people with two tunics to do?,Sell both and give the money to the temple,Keep them for the coming judgment,Share with the person who has none,Give one to a tax collector,C,Luke 3:10–11
23,Luke 3–4,What happened as Jesus was praying after His baptism?,Fire fell from heaven,The heavens opened and the Holy Spirit descended upon Him,John disappeared into the wilderness,A voice spoke only to John,B,Luke 3:21–22
